Id,Target
f8f6566a-bac8-11e8-b2b8-ac1f6b6435d0,0 16
f6b06252-bad6-11e8-b2b9-ac1f6b6435d0,0 16 25
fcd88d84-bad2-11e8-b2b8-ac1f6b6435d0,16 25
f8cd7738-bad0-11e8-b2b8-ac1f6b6435d0,25
f60586ac-bac7-11e8-b2b7-ac1f6b6435d0,7 17
fce301c8-bac9-11e8-b2b8-ac1f6b6435d0,5
f665e29c-bad4-11e8-b2b8-ac1f6b6435d0,14 16
fcd88d84-bad2-11e8-b2b8-ac1f6b6435d0,16 25 14
f5c2e1da-bad1-11e8-b2b8-ac1f6b6435d0,25 6 14 2
f665e29c-bad4-11e8-b2b8-ac1f6b6435d0,16 14
f29aefca-bac7-11e8-b2b7-ac1f6b6435d0,1
fb19471e-bad6-11e8-b2b9-ac1f6b6435d0,27
f60586ac-bac7-11e8-b2b7-ac1f6b6435d0,7 17
fce301c8-bac9-11e8-b2b8-ac1f6b6435d0,25 6 5
f8cd7738-bad0-11e8-b2b8-ac1f6b6435d0,25
f3f555c4-baca-11e8-b2b8-ac1f6b6435d0,25 6 7
f6b06252-bad6-11e8-b2b9-ac1f6b6435d0,16 25 0
fc6271b2-bad7-11e8-b2b9-ac1f6b6435d0,12
f8f6566a-bac8-11e8-b2b8-ac1f6b6435d0,16 1 0
f3fcd464-bad6-11e8-b2b9-ac1f6b6435d0,7 4
fc66d9ca-bacb-11e8-b2b8-ac1f6b6435d0,25 20
ff10925c-baca-11e8-b2b8-ac1f6b6435d0,2
